RK,NAME,TEAM,SALARY
379,"Matthew Dellavedova, PG",Sacramento Kings,"$1,836,090"
380,"Drew Eubanks, PF",Portland Trail Blazers,"$1,836,090"
381,"Ryan Arcidiacono, G",Portland Trail Blazers,"$1,836,090"
382,"Josh Okogie, SF",Phoenix Suns,"$1,836,090"
383,"T.J. Warren, SF",Phoenix Suns,"$1,836,090"
384,"Damion Lee, SG",Phoenix Suns,"$1,836,090"
385,"Bismack Biyombo, C",Phoenix Suns,"$1,836,090"
386,"Nathan Knight, F",Minnesota Timberwolves,"$1,836,090"
387,"Matt Ryan, F",Minnesota Timberwolves,"$1,836,090"
388,"Bryn Forbes, SG",Minnesota Timberwolves,"$1,836,090"
389,"Austin Rivers, SG",Minnesota Timberwolves,"$1,836,090"
390,"Wesley Matthews, SG",Milwaukee Bucks,"$1,836,090"
391,"Udonis Haslem, PF",Miami Heat,"$1,836,090"
392,"Troy Brown Jr., SF",Los Angeles Lakers,"$1,836,090"
393,"Dennis Schroder, PG",Los Angeles Lakers,"$1,836,090"
394,"Frank Kaminsky, PF",Houston Rockets,"$1,836,090"
395,"JaMychal Green, F",Golden State Warriors,"$1,836,090"
396,"Andre Iguodala, F",Golden State Warriors,"$1,836,090"
397,"Rodney McGruder, G",Detroit Pistons,"$1,836,090"
398,"Thomas Bryant, C",Denver Nuggets,"$1,836,090"
399,"DeAndre Jordan, C",Denver Nuggets,"$1,836,090"
400,"Theo Pinson, G",Dallas Mavericks,"$1,836,090"
401,"Facundo Campazzo, G",Dallas Mavericks,"$1,836,090"
402,"Markieff Morris, PF",Dallas Mavericks,"$1,836,090"
403,"Raul Neto, PG",Cleveland Cavaliers,"$1,836,090"
404,"Robin Lopez, C",Cleveland Cavaliers,"$1,836,090"
405,"Noah Vonleh, PF",Boston Celtics,"$1,836,090"
406,"Blake Griffin, PF",Boston Celtics,"$1,836,090"
407,"Aaron Holiday, G",Atlanta Hawks,"$1,836,090"
408,"Wes Iwundu, F",Sacramento Kings,"$1,824,003"
409,"Dwayne Bacon, SG",Los Angeles Lakers,"$1,824,003"
410,"Max Strus, SG",Miami Heat,"$1,815,677"
411,"Gabe Vincent, PG",Miami Heat,"$1,815,677"
412,"Javonte Green, SF",Chicago Bulls,"$1,815,677"
413,"Juwan Morgan, F",LA Clippers,"$1,815,518"
414,"Herbert Jones, SF",New Orleans Pelicans,"$1,785,000"
415,"Nick Richards, C",Charlotte Hornets,"$1,782,621"
416,"Vernon Carey Jr., C",Washington Wizards,"$1,782,621"
417,"Tre Jones, PG",San Antonio Spurs,"$1,782,621"
418,"KZ Okpala, SF",Sacramento Kings,"$1,782,621"
419,"Paul Reed, SF",Philadelphia 76ers,"$1,782,621"
420,"Yogi Ferrell, PG",LA Clippers,"$1,782,621"
421,"Kenyon Martin Jr., F",Houston Rockets,"$1,782,621"
